COMPUTATIONAL INTELLIGENCE PROJECT REPORT
=========================================
Student: s347245
Parameters: Alpha=1.00, Beta=2.00, Density=0.20, Cities=1000
Execution Time: 571.8075 seconds
=========================================

PERFORMANCE COMPARISON
-------------------------
 - Baseline Cost:       37,545,927.7
 - Algorithm Cost:      26,178,730.7
 - Absolute Improvement: 11,367,197.0
 - % Improvement:       30.28%
 - Result:              IMPROVEMENT

CITY COVERAGE DETAIL:
City ID    | Available    | % Collected  | Visits  
357        | 489.4        | 100.0        | 1       
358        | 501.2        | 100.0        | 1       
359        | 989.1        | 100.0        | 2       
360        | 151.0        | 100.0        | 3       
361        | 830.9        | 100.0        | 2       
362        | 52.7         | 100.0        | 1       
363        | 478.2        | 100.0        | 3       
364        | 886.4        | 100.0        | 2       
365        | 665.5        | 100.0        | 1       
366        | 685.5        | 100.0        | 1       
367        | 264.1        | 100.0        | 1       
368        | 419.2        | 100.0        | 1       
369        | 367.2        | 100.0        | 1       
370        | 521.9        | 100.0        | 1       
371        | 462.8        | 100.0        | 1       
372        | 327.6        | 100.0        | 1       
373        | 306.2        | 100.0        | 11      
374        | 251.6        | 100.0        | 1       
375        | 365.7        | 100.0        | 9       
376        | 150.8        | 100.0        | 11      
377        | 872.2        | 100.0        | 10      
378        | 602.5        | 100.0        | 1       
379        | 134.7        | 100.0        | 1       
380        | 694.2        | 100.0        | 1       
381        | 847.8        | 100.0        | 2       
382        | 238.3        | 100.0        | 1       
383        | 151.4        | 100.0        | 1       
384        | 9.6          | 100.0        | 1       
385        | 48.2         | 100.0        | 5       
386        | 762.5        | 100.0        | 2       
387        | 987.2        | 100.0        | 2       
388        | 45.8         | 100.0        | 7       
389        | 748.3        | 100.0        | 2       
390        | 72.8         | 100.0        | 1       
391        | 592.5        | 100.0        | 5       
392        | 756.3        | 100.0        | 2       
393        | 359.8        | 100.0        | 5       
394        | 11.9         | 100.0        | 1       
395        | 595.6        | 100.0        | 1       
396        | 991.3        | 100.0        | 2       
397        | 258.4        | 100.0        | 1       
398        | 190.3        | 100.0        | 1       
399        | 124.8        | 100.0        | 13      
400        | 555.7        | 100.0        | 1       
401        | 596.8        | 100.0        | 1       
402        | 792.5        | 100.0        | 6       
403        | 753.3        | 100.0        | 4       
404        | 892.6        | 100.0        | 2       
405        | 806.0        | 100.0        | 2       
406        | 248.0        | 100.0        | 1       
407        | 556.3        | 100.0        | 1       
408        | 298.1        | 100.0        | 1       
409        | 330.5        | 100.0        | 1       
410        | 932.0        | 100.0        | 2       
411        | 682.2        | 100.0        | 23      
412        | 974.6        | 100.0        | 2       
413        | 417.5        | 100.0        | 3       
414        | 537.9        | 100.0        | 3       
415        | 487.6        | 100.0        | 27      
416        | 108.2        | 100.0        | 9       
417        | 237.5        | 100.0        | 1       
418        | 528.1        | 100.0        | 1       
419        | 68.3         | 100.0        | 1       
420        | 931.5        | 100.0        | 2       
421        | 124.7        | 100.0        | 1       
422        | 198.8        | 100.0        | 1       
423        | 765.6        | 100.0        | 6       
424        | 97.8         | 100.0        | 1       
425        | 900.4        | 100.0        | 2       
426        | 726.0        | 100.0        | 1       
427        | 69.6         | 100.0        | 1       
428        | 692.2        | 100.0        | 1       
429        | 632.0        | 100.0        | 3       
430        | 757.6        | 100.0        | 2       
431        | 828.4        | 100.0        | 2       
432        | 718.6        | 100.0        | 1       
433        | 586.6        | 100.0        | 3       
434        | 323.1        | 100.0        | 1       
435        | 697.6        | 100.0        | 1       
436        | 957.0        | 100.0        | 2       
437        | 587.9        | 100.0        | 7       
438        | 664.7        | 100.0        | 1       
439        | 437.7        | 100.0        | 1       
440        | 756.4        | 100.0        | 58      
441        | 997.7        | 100.0        | 2       
442        | 161.2        | 100.0        | 1       
443        | 203.2        | 100.0        | 1       
444        | 539.9        | 100.0        | 3       
445        | 481.9        | 100.0        | 1       
446        | 572.0        | 100.0        | 1       
447        | 50.0         | 100.0        | 1       
448        | 404.9        | 100.0        | 1       
449        | 583.4        | 100.0        | 3       
450        | 585.6        | 100.0        | 7       
451        | 657.7        | 100.0        | 1       
452        | 720.5        | 100.0        | 1       
453        | 641.9        | 100.0        | 1       
454        | 790.5        | 100.0        | 6       
455        | 625.1        | 100.0        | 3       
456        | 538.0        | 100.0        | 1       
457        | 606.6        | 100.0        | 1       
458        | 102.1        | 100.0        | 1       
459        | 273.9        | 100.0        | 3       
460        | 527.9        | 100.0        | 1       
461        | 873.1        | 100.0        | 32      
462        | 679.4        | 100.0        | 5       
463        | 91.3         | 100.0        | 3       
464        | 592.7        | 100.0        | 19      
465        | 222.5        | 100.0        | 5       
466        | 734.3        | 100.0        | 1       
467        | 827.6        | 100.0        | 2       
468        | 593.9        | 100.0        | 1       
469        | 591.8        | 100.0        | 1       
470        | 339.3        | 100.0        | 1       
471        | 446.8        | 100.0        | 5       
472        | 864.2        | 100.0        | 6       
473        | 723.6        | 100.0        | 1       
474        | 520.2        | 100.0        | 1       
475        | 368.9        | 100.0        | 1       
476        | 51.3         | 100.0        | 3       
477        | 143.9        | 100.0        | 1       
478        | 193.8        | 100.0        | 9       
479        | 374.0        | 100.0        | 13      
480        | 944.2        | 100.0        | 2       
481        | 505.6        | 100.0        | 5       
482        | 235.6        | 100.0        | 1       
483        | 106.6        | 100.0        | 1       
484        | 339.0        | 100.0        | 1       
485        | 815.9        | 100.0        | 2       
486        | 384.0        | 100.0        | 1       
487        | 772.7        | 100.0        | 2       
488        | 802.9        | 100.0        | 4       
489        | 111.7        | 100.0        | 1       
490        | 609.1        | 100.0        | 1       
491        | 959.1        | 100.0        | 2       
492        | 402.7        | 100.0        | 1       
493        | 51.9         | 100.0        | 1       
494        | 923.4        | 100.0        | 2       
495        | 883.8        | 100.0        | 2       
496        | 522.6        | 100.0        | 19      
497        | 552.7        | 100.0        | 1       
498        | 212.5        | 100.0        | 1       
499        | 819.6        | 100.0        | 2       
500        | 499.1        | 100.0        | 1       
501        | 34.8         | 100.0        | 1       
502        | 683.3        | 100.0        | 1       
503        | 950.5        | 100.0        | 4       
504        | 829.3        | 100.0        | 10      
505        | 277.9        | 100.0        | 1       
506        | 54.3         | 100.0        | 1       
507        | 940.4        | 100.0        | 2       
508        | 937.1        | 100.0        | 2       
509        | 532.9        | 100.0        | 1       
510        | 642.7        | 100.0        | 1       
511        | 463.1        | 100.0        | 1       
512        | 420.3        | 100.0        | 1       
513        | 120.3        | 100.0        | 1       
514        | 97.7         | 100.0        | 1       
515        | 233.5        | 100.0        | 1       
516        | 836.8        | 100.0        | 2       
517        | 146.7        | 100.0        | 1       
518        | 227.5        | 100.0        | 7       
519        | 549.1        | 100.0        | 1       
520        | 215.9        | 100.0        | 1       
521        | 164.0        | 100.0        | 1       
522        | 563.8        | 100.0        | 1       
523        | 368.7        | 100.0        | 1       
524        | 626.5        | 100.0        | 3       
525        | 912.3        | 100.0        | 2       
526        | 151.8        | 100.0        | 1       
527        | 913.5        | 100.0        | 10      
528        | 902.6        | 100.0        | 2       
529        | 829.3        | 100.0        | 2       
530        | 631.7        | 100.0        | 1       
531        | 620.5        | 100.0        | 1       
532        | 639.6        | 100.0        | 1       
533        | 690.8        | 100.0        | 9       
534        | 17.5         | 100.0        | 1       
535        | 958.1        | 100.0        | 2       
536        | 586.0        | 100.0        | 1       
537        | 781.7        | 100.0        | 2       
538        | 377.9        | 100.0        | 15      
539        | 13.4         | 100.0        | 1       
540        | 510.2        | 100.0        | 3       
541        | 507.7        | 100.0        | 1       
542        | 437.6        | 100.0        | 1       
543        | 340.4        | 100.0        | 3       
544        | 250.6        | 100.0        | 1       
545        | 528.0        | 100.0        | 1       
546        | 375.9        | 100.0        | 7       
547        | 970.0        | 100.0        | 4       
548        | 173.8        | 100.0        | 1       
549        | 320.3        | 100.0        | 1       
550        | 294.7        | 100.0        | 1       
551        | 543.8        | 100.0        | 3       
552        | 499.8        | 100.0        | 5       
553        | 644.1        | 100.0        | 1       
554        | 950.1        | 100.0        | 2       
555        | 285.9        | 100.0        | 1       
556        | 693.1        | 100.0        | 1       
557        | 26.0         | 100.0        | 1       
558        | 263.1        | 100.0        | 5       
559        | 464.3        | 100.0        | 1       
560        | 32.0         | 100.0        | 1       
561        | 618.1        | 100.0        | 5       
562        | 678.6        | 100.0        | 1       
563        | 747.0        | 100.0        | 1       
564        | 517.1        | 100.0        | 1       
565        | 604.3        | 100.0        | 1       
566        | 396.7        | 100.0        | 1       
567        | 42.2         | 100.0        | 1       
568        | 100.9        | 100.0        | 25      
569        | 655.3        | 100.0        | 1       
570        | 995.6        | 100.0        | 4       
571        | 16.8         | 100.0        | 1       
572        | 558.0        | 100.0        | 1       
573        | 751.3        | 100.0        | 16      
574        | 826.9        | 100.0        | 2       
575        | 545.7        | 100.0        | 1       
576        | 620.3        | 100.0        | 7       
577        | 697.0        | 100.0        | 1       
578        | 859.1        | 100.0        | 2       
579        | 123.2        | 100.0        | 1       
580        | 926.3        | 100.0        | 2       
581        | 27.0         | 100.0        | 3       
582        | 836.4        | 100.0        | 2       
583        | 77.7         | 100.0        | 11      
584        | 195.4        | 100.0        | 1       
585        | 4.9          | 100.0        | 1       
586        | 445.8        | 100.0        | 1       
587        | 335.0        | 100.0        | 1       
588        | 166.8        | 100.0        | 1       
589        | 451.6        | 100.0        | 1       
590        | 403.0        | 100.0        | 1       
591        | 767.9        | 100.0        | 6       
592        | 893.2        | 100.0        | 2       
593        | 652.9        | 100.0        | 1       
594        | 125.3        | 100.0        | 1       
595        | 296.1        | 100.0        | 17      
596        | 913.4        | 100.0        | 2       
597        | 89.6         | 100.0        | 1       
598        | 407.4        | 100.0        | 3       
599        | 942.6        | 100.0        | 8       
600        | 950.7        | 100.0        | 2       
601        | 411.8        | 100.0        | 1       
602        | 667.7        | 100.0        | 1       
603        | 457.3        | 100.0        | 79      
604        | 753.7        | 100.0        | 8       
605        | 32.5         | 100.0        | 7       
606        | 145.0        | 100.0        | 1       
607        | 614.6        | 100.0        | 11      
608        | 233.3        | 100.0        | 17      
609        | 666.4        | 100.0        | 1       
610        | 351.9        | 100.0        | 1       
611        | 886.8        | 100.0        | 2       
612        | 819.4        | 100.0        | 2       
613        | 493.3        | 100.0        | 1       
614        | 773.1        | 100.0        | 2       
615        | 271.9        | 100.0        | 1       
616        | 494.8        | 100.0        | 1       
617        | 198.3        | 100.0        | 1       
618        | 861.0        | 100.0        | 4       
619        | 823.2        | 100.0        | 6       
620        | 902.2        | 100.0        | 2       
621        | 877.6        | 100.0        | 2       
622        | 959.6        | 100.0        | 4       
623        | 229.1        | 100.0        | 1       
624        | 931.9        | 100.0        | 2       
625        | 571.6        | 100.0        | 3       
626        | 423.1        | 100.0        | 1       
627        | 560.8        | 100.0        | 1       
628        | 343.3        | 100.0        | 1       
629        | 289.3        | 100.0        | 1       
630        | 242.1        | 100.0        | 1       
631        | 83.3         | 100.0        | 3       
632        | 497.1        | 100.0        | 1       
633        | 887.9        | 100.0        | 2       
634        | 630.5        | 100.0        | 13      
